sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"1404692079.119","search index=mygizmostoreindex","Greg-HP","1404692079.950639",0,8621,1404692080,8621,8621,completed,"5.085000",,,,,,,,,,,,,,,,,,,
"1404692397.120","search sourcetype=access_combined_wcookie","Greg-HP","1404692397.482382",0,287,1404692397,287,287,completed,"0.811000",,,,,,,,,,,,,,,,,,,
"1404692679.121","search index=mygizmostoreindex","Greg-HP","1404692679.544473",0,8621,1404692679,8621,8621,completed,"4.789000",,,,,,,,,,,,,,,,,,,
"1404692690.122","search index=mygizmostoreindex sourcetype=access_combined_wcookie","Greg-HP","1404692690.748691",0,8621,1404692691,8621,8621,completed,"4.534000",,,,,,,,,,,,,,,,,,,
"1404692745.123","search index=mygizmostoreindex sourcetype=access_combined_wcookie status=500","Greg-HP","1404692745.435183",0,685,1404692745,685,694,completed,"1.661000",,,,,,,,,,,,,,,,,,,
"1404692768.124","search index=mygizmostoreindex sourcetype=access_combined_wcookie status>499","Greg-HP","1404692768.587623",0,1530,1404692768,1530,8621,completed,"2.637000",,,,,,,,,,,,,,,,,,,
"1404692786.125","search index=mygizmostoreindex sourcetype=access_combined_wcookie status>399","Greg-HP","1404692786.291253",0,4361,1404692786,4361,8621,completed,"3.985000",,,,,,,,,,,,,,,,,,,
"rt_1404692964.126","search index=mygizmostoreindex sourcetype=access_combined_wcookie status>399","Greg-HP","1404692964.260760",1,,,,,,,,,,,,,,,,,,,,,,,,,
"1404692975.127","search index=mygizmostoreindex sourcetype=access_combined_wcookie status>399","Greg-HP","1404692975.836378",0,933,1404692976,933,1912,completed,"3.089000","1404086400.000000000","1404692975.000000000","1404086400.000000000","1404692975.000000000",,,,,,,,,,,,,,,
"1404693151.128","search index=mygizmostoreindex sourcetype=access_combined_wcookie status>399","Greg-HP","1404693151.623476",0,4361,1404693152,4361,8621,completed,"3.932000",,,,,,,,,,,,,,,,,,,
"1404693172.129","search index=mygizmostoreindex sourcetype=access_combined_wcookie top useragent","Greg-HP","1404693172.355913",0,0,1404693172,0,0,completed,"0.500000",,,,,,,,,,,,,,,,,,,
"1404693178.130","search sourcetype=access_combined_wcookie top useragent","Greg-HP","1404693178.907924",0,0,1404693179,0,0,completed,"0.391000",,,,,,,,,,,,,,,,,,,
"1404693187.131","search sourcetype=access_combined_wcookie | top useragent","Greg-HP","1404693187.862340",0,287,1404693188,8,287,completed,"0.469000",,,,,,,,,,,,,,,,,,,
